starttime,stoptime,ss_lat,ss_long,es_lat,es_long
2013-07-01T00:12:23,2013-07-01T00:20:47,40.7014851,-73.98656928,40.69794,-73.96986848
2013-07-01T00:12:26,2013-07-01T00:17:19,40.7606597,-73.98042047,40.7568001,-73.98291153
2013-07-01T00:12:26,2013-07-01T00:18:40,40.722055,-73.989111,40.72368361,-73.97574813
2013-07-01T00:12:31,2013-07-01T00:21:06,40.73912601,-73.97973776,40.74345335,-74.00004031
2013-07-01T00:12:36,2013-07-01T00:25:42,40.73535398,-74.00483091,40.72502876,-73.99069656
2013-07-01T00:12:39,2013-07-01T00:15:12,40.72740794,-73.98142006,40.72521311,-73.97768752
2013-07-01T00:12:39,2013-07-01T00:15:35,40.69196566,-73.9813018,40.69308257,-73.97178913
2013-07-01T00:12:48,2013-07-01T00:30:09,40.7218158,-73.99720307,40.72490985,-74.00154702
2013-07-01T00:13:03,2013-07-01T00:21:32,40.74394314,-73.97966069,40.7454973,-74.00197139
2013-07-01T00:13:34,2013-07-01T00:17:01,40.74147286,-73.98320928,40.74025878,-73.98409214
2013-07-01T00:13:50,2013-07-01T00:30:27,40.76461837,-73.98789473,40.76269882,-73.99301222
2013-07-01T00:13:56,2013-07-01T00:22:31,40.75188406,-73.97770164,40.74315566,-73.97434726
2013-07-01T00:14:13,2013-07-01T00:24:19,40.73704984,-73.99009296,40.74854862,-73.98808416
2013-07-01T00:14:36,2013-07-01T00:27:42,40.71625008,-74.0091059,40.72917025,-73.99810231
2013-07-01T00:14:38,2013-07-01T00:23:19,40.75172632,-73.98753523,40.73935542,-73.99931783
2013-07-01T00:14:45,2013-07-01T00:27:14,40.68312489,-73.97895137,40.69363137,-73.96223558
2013-07-01T00:14:58,2013-07-01T00:21:11,40.72043411,-74.01020609,40.72490985,-74.00154702
2013-07-01T00:15:32,2013-07-01T00:35:17,40.70823502,-74.00530063,40.72299208,-73.97995466
2013-07-01T00:15:49,2013-07-01T00:20:18,40.73221853,-73.98165557,40.7500727,-73.99839279
2013-07-01T00:16:06,2013-07-01T00:21:10,40.73261787,-73.99158043,40.72743423,-73.99379025
2013-07-01T00:16:26,2013-07-01T00:33:50,40.75044999,-73.99481051,40.73416059,-73.98024289
2013-07-01T00:16:30,2013-07-01T00:18:26,40.72521311,-73.97768752,40.72368361,-73.97574813
2013-07-01T00:17:00,2013-07-01T00:18:53,40.71307916,-73.99851193,40.71494807,-74.00234482
2013-07-01T00:17:14,2013-07-01T00:25:03,40.72903917,-73.99404649,40.72299208,-73.97995466
2013-07-01T00:17:41,2013-07-01T00:43:54,40.73401143,-74.00293877,40.71286844,-73.95698119
